predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
9.87961	-10.7479	0.728909	-2.66728	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
9.91965	-10.8944	0.728909	-2.66728	9.88465	-10.9383	9.85	-10.9	0	-2.73074
9.90587	-11.0409	0.587603	-2.66739	9.83614	-11.041	9.85	-11.05	0	-2.73073
9.93526	-11.1743	0.587603	-2.66739	9.83952	-11.1692	9.85	-11.2	0	-2.99965
9.91401	-11.3255	0.454481	-2.71426	9.84568	-11.3496	9.85	-11.35	0	-2.99961
9.93674	-11.4613	0.454481	-2.71426	9.87961	-11.5637	9.85	-11.5	0	-2.99843
9.90595	-11.6112	0.313657	-2.75138	9.83206	-11.6307	9.85	-11.65	0	-2.99843
9.92163	-11.7488	0.313657	-2.75138	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
9.85892	-11.8687	0.107436	-2.70523	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
9.86429	-12.0039	0.107436	-2.70523	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
9.77998	-12.1435	-0.128495	-2.71674	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
9.77355	-12.2794	-0.128495	-2.71674	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
9.67668	-12.3873	-0.366414	-2.64332	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
9.65834	-12.5196	-0.366414	-2.64332	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
9.52462	-12.6098	-0.669883	-2.53263	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
9.4878	-12.749	-0.669883	-2.53263	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
9.35321	-12.8342	-0.926772	-2.39066	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
9.30678	-12.9539	-0.926772	-2.39066	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
9.08435	-13.0225	-1.38959	-2.25606	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
9.00805	-13.1464	-1.38959	-2.25606	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
8.8165	-13.1726	-1.6924	-1.99958	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
8.7318	-13.2727	-1.6924	-1.99958	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
8.52479	-13.2811	-2.014	-1.75839	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
8.41403	-13.3778	-2.014	-1.75839	8.22926	-13.1698	8.2	-13.15	-2.72741	0
8.18792	-13.3351	-2.31705	-1.39219	8.03583	-13.1513	8.05	-13.15	-2.72742	0
8.0606	-13.4116	-2.31705	-1.39219	7.82914	-13.0525	7.9	-13.15	-2.72986	0
7.86005	-13.347	-2.50936	-1.02179	7.76538	-13.1647	7.75	-13.15	-2.72986	0
7.73449	-13.3982	-2.50936	-1.02179	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
7.54031	-13.3651	-2.68978	-0.800486	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
7.39244	-13.4091	-2.68978	-0.800486	7.21108	-13.0985	7.3	-13.25	-2.72846	0
7.20797	-13.36	-2.78591	-0.555851	7.16011	-13.2382	7.15	-13.25	-2.72844	0
7.06857	-13.3878	-2.78591	-0.555851	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
6.89511	-13.3026	-2.8755	-0.258597	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
6.73699	-13.3168	-2.8755	-0.258597	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
6.56967	-13.2172	-2.89967	0.0403199	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
6.41016	-13.215	-2.89967	0.0403199	6.40137	-13.0799	6.4	-13.05	-2.72678	0
6.25549	-13.1431	-2.88694	0.223219	6.26174	-13.0534	6.25	-13.05	-2.72678	0
6.09685	-13.1309	-2.88694	0.223219	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
5.93986	-13.0443	-2.88259	0.418372	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
5.79563	-13.0233	-2.88259	0.418372	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
5.65125	-12.8886	-2.88295	0.717379	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
5.49267	-12.8492	-2.88295	0.717379	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
5.3794	-12.7412	-2.76394	0.89735	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
5.22733	-12.6918	-2.76394	0.89735	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
5.09954	-12.5662	-2.70016	1.09758	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
4.95118	-12.5059	-2.70016	1.09758	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
4.85871	-12.3595	-2.55344	1.32358	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
4.73099	-12.2933	-2.55344	1.32358	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
4.67001	-12.1584	-2.37802	1.50417	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
4.53909	-12.0756	-2.37802	1.50417	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
4.51059	-11.8847	-2.109	1.78799	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
4.39469	-11.7865	-2.109	1.78799	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
4.3975	-11.6367	-1.7973	1.92327	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
4.30771	-11.5406	-1.7973	1.92327	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
4.31298	-11.3186	-1.54737	2.25427	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
4.22778	-11.1945	-1.54737	2.25427	4.43713	-11.024	4.45	-11.05	0	1.81614
4.2766	-11.0094	-1.19529	2.4143	4.45136	-10.93	4.45	-10.95	0	1.81612
4.21082	-10.8766	-1.19529	2.4143	4.44745	-10.786	4.45	-10.8	0	2.72555
4.28205	-10.7008	-0.835538	2.52698	4.45788	-10.6457	4.45	-10.65	0	2.72554
4.23612	-10.5619	-0.835538	2.52698	4.46329	-10.5756	4.45	-10.5	0	2.729
4.30035	-10.3857	-0.546409	2.62488	4.44057	-10.3382	4.45	-10.35	0	2.72898
4.27029	-10.2413	-0.546409	2.62488	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
4.37656	-10.0735	-0.188651	2.68624	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
4.36619	-9.92588	-0.188651	2.68624	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
4.48026	-9.76556	0.137884	2.71954	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
4.48785	-9.6159	0.137884	2.71954	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
